Date,Open,High,Low,Close,Volume,Adj Close
2017-01-04,113.391,113.975,112.728,113.489,900,110.4985
2017-01-03,115.145,115.49,112.80,113.399,1700,110.4109
2016-12-30,113.421,113.60,113.421,113.60,100,110.6066
2016-12-29,113.25,113.985,113.25,113.421,100,110.4323
2016-12-28,114.146,114.319,113.471,113.471,500,110.481
2016-12-27,112.822,113.70,112.822,113.70,000,110.704
2016-12-23,113.384,113.818,112.969,112.969,100,109.9922
2016-12-22,112.984,113.848,112.984,113.60,10100,110.6066
2016-12-21,113.30,113.30,112.554,113.165,900,110.1831
2016-12-20,112.759,113.377,112.115,113.377,700,110.3895
2016-12-19,112.558,112.558,111.50,112.354,1200,109.3934
2016-12-16,111.978,112.191,111.70,111.913,500,108.9641
2016-12-15,111.887,112.00,111.05,111.699,500,108.7557
2016-12-14,111.677,112.313,111.464,112.313,700,109.3535
2016-12-13,110.36,111.61,110.15,111.61,1000,108.669
2016-12-12,111.033,111.033,109.75,109.899,1000,107.0031
2016-12-09,107.655,110.28,107.655,109.142,1700,106.2661
2016-12-08,106.555,107.609,106.55,107.609,900,104.7735
2016-12-07,107.135,108.50,106.20,106.603,11000,103.794
2016-12-06,106.65,106.65,105.60,106.20,600,103.4016
2016-12-05,105.70,108.25,105.60,107.50,700,104.6673
2016-12-02,106.10,106.481,105.80,106.40,300,103.5963
2016-12-01,109.104,109.104,106.50,106.50,500,103.6937
2016-11-30,108.056,109.104,108.056,109.103,600,106.2281
2016-11-29,107.642,108.444,107.642,108.444,000,105.5865
2016-11-28,108.74,108.74,107.70,107.70,300,104.8621
2016-11-25,108.15,108.15,107.60,108.00,100,105.1542
2016-11-24,107.61,107.61,107.20,107.60,200,104.7647
2016-11-23,107.80,108.55,107.542,107.542,700,104.7082
2016-11-22,108.91,108.91,107.80,108.006,300,105.16
2016-11-21,109.269,109.661,107.751,108.455,1200,105.5972
2016-11-18,108.49,108.60,108.102,108.60,400,105.7384
2016-11-17,108.299,108.337,106.60,108.143,1800,105.2934
2016-11-16,108.648,109.446,108.648,109.446,500,106.5621
2016-11-15,108.277,109.50,108.277,108.913,2400,106.0431
2016-11-14,111.49,111.49,108.00,108.45,2100,105.5923
2016-11-11,110.00,110.708,109.801,110.01,300,107.1112
2016-11-10,113.741,114.50,108.30,110.22,1700,107.3157
2016-11-09,108.50,113.741,108.168,113.741,2800,110.7439
2016-11-08,115.00,115.994,112.88,114.215,2600,111.2054
2016-11-07,114.20,114.233,113.30,114.233,600,111.2229
2016-11-04,113.759,114.50,112.99,112.99,2300,110.0127
2016-11-03,114.20,114.754,113.617,113.999,500,110.9951
2016-11-02,115.675,116.00,114.108,114.108,1100,111.1012
2016-11-01,116.75,117.124,116.149,116.149,100,113.0884
2016-10-28,117.352,117.352,116.597,116.978,1400,113.8956
2016-10-27,116.389,118.20,116.193,117.05,1100,113.9657
2016-10-26,117.602,117.90,116.45,116.75,100,113.6736
2016-10-25,118.151,119.10,117.998,117.998,700,114.8887
2016-10-24,119.00,119.40,118.701,118.701,300,115.5732
2016-10-21,119.272,119.75,118.75,118.75,200,115.6209
2016-10-20,118.754,119.65,118.70,118.70,600,115.5722
2016-10-19,119.023,119.177,118.733,119.177,100,116.0367
2016-10-18,118.545,119.40,118.545,119.023,100,115.8867
2016-10-17,121.19,121.19,118.299,118.524,1300,115.4009
2016-10-14,118.575,120.77,118.575,120.77,200,117.5877
2016-10-13,118.00,118.225,116.526,116.526,400,113.4555
2016-10-12,119.179,119.511,117.999,118.339,700,115.2207
2016-10-11,118.923,119.577,118.923,119.577,400,116.4261
2016-10-10,119.00,119.39,117.65,119.39,2500,116.244
2016-10-07,119.641,119.641,117.70,117.70,600,114.5986
2016-10-06,119.818,120.334,119.55,120.091,400,116.9266
2016-10-05,122.40,122.40,120.00,120.242,300,117.0736
2016-10-04,120.741,122.90,120.497,122.158,500,118.9391
2016-09-30,119.00,119.85,118.439,119.85,300,116.6919
2016-09-29,122.004,122.004,119.00,119.00,1000,115.8643
2016-09-28,121.00,121.741,120.756,121.00,900,117.8116
2016-09-27,121.15,121.40,120.166,120.793,1200,117.6101
2016-09-26,121.609,121.868,119.994,120.249,300,117.0804
2016-09-23,122.588,122.748,122.051,122.661,700,119.4289
2016-09-22,120.736,122.849,120.736,122.849,900,119.6119
2016-09-21,121.709,122.00,119.80,120.393,1200,117.2206
2016-09-20,119.794,121.60,119.794,121.191,300,117.9976
2016-09-19,118.89,120.319,118.268,120.319,1000,117.1486
2016-09-16,119.998,121.077,118.80,118.801,700,115.6706
2016-09-15,117.736,120.469,117.736,120.469,300,117.2946
